Score;Max Tile;Avg Move Time;Run Time
1432;128;0;0,5566921
396;32;0;0,2185372
904;64;0;0,3831142
1324;128;0;0,4971916
1236;128;0;0,4403291
1008;128;0;0,3807103
556;64;0;0,278931
1052;64;0;0,4624802
656;64;0;0,3007081
840;64;0;0,3834568
1184;128;0;0,472424
516;64;0;0,2620249
744;64;0;0,415805
1148;128;0;0,4306373
1080;128;0;0,4411835
248;32;0;0,1702257
1372;128;0;0,5004539
2304;256;0;0,7266019
1432;128;0;0,7932429
544;64;0;0,2699591
1960;256;0;0,5333673
1052;64;0;0,4531528
1224;128;0;0,433903
568;64;0;0,2641914
676;64;0;0,3351433
1384;128;0;0,5349497
1332;128;0;0,4911797
2408;256;0;0,6774196
1260;128;0;0,4658065
692;64;0;0,3052796
1188;128;0;0,4250175
664;64;0;0,3324862
484;64;0;0,2498084
2908;256;0;0,8350546
592;64;0;0,2855447
640;64;0;0,2725726
612;64;0;0,2972976
292;32;0;0,1997762
2604;256;0;0,7850011
1016;128;0;0,4185691
1280;128;0;0,4751362
2000;128;0;0,6624124
384;32;0;0,2118689
644;64;0;0,3286195
1652;128;0;0,6693669
1356;128;0;0,4461326
988;128;0;0,3852114
540;64;0;0,2420239
1380;128;0;0,6006031
1476;128;0;0,5472104
1192;128;0;0,4740042
2216;256;0;0,6658811
656;64;0;0,2948549
1492;128;0;0,5790796
800;64;0;0,342464
2104;256;0;0,6225734
1272;128;0;0,4250939
1048;128;0;0,3920524
456;32;0;0,2750986
1604;128;0;0,5727031
1104;128;0;0,4181297
1368;128;0;0,4601321
608;64;0;0,2728279
1244;128;0;0,5290248
1468;128;0;0,5679558
988;64;0;0,3962982
2372;256;0;0,7094113
1096;128;0;0,364361
1320;128;0;0,5006438
1008;128;0;0,3477832
1444;128;0;0,5210652
1144;128;0;0,4412358
1424;128;0;0,5404819
1248;128;0;0,4494948
268;32;0;0,1729692
572;64;0;0,2797147
972;64;0;0,4069496
956;64;0;0,4148839
620;64;0;0,31297
364;32;0;0,2277342
1048;128;0;0,4880621
268;32;0;0,2023146
1132;64;0;0,4775341
732;64;0;0,3579139
688;64;0;0,342636
2144;256;0;0,691751
1184;128;0;0,4413011
420;32;0;0,2401924
796;64;0;0,3403232
1424;128;0;0,5474641
1428;128;0;0,5797799
1296;128;0;0,4720131
472;64;0;0,2515
1048;128;0;0,4339596
1372;128;0;0,4735916
1016;128;0;0,3875274
944;128;0;0,3526067
1200;128;0;0,4954816
672;64;0;0,3274996
1340;128;0;0,5027718
1220;128;0;0,4958816
1240;128;0;0,4473543
692;64;0;0,3205513
2032;128;0;0,7032441
964;64;0;0,4079732
768;64;0;0,3291032
792;64;0;0,3498117
800;64;0;0,3256892
888;64;0;0,435189
1552;128;0;0,5588476
1344;128;0;0,5217305
1088;128;0;0,3968289
1420;128;0;0,5596077
1040;128;0;0,4012149
404;32;0;0,2280585
720;64;0;0,3067666
1060;128;0;0,4279929
1320;128;0;0,6819808
472;64;0;0,252807
1128;128;0;0,4209979
624;64;0;0,3349431
600;64;0;0,3307315
904;64;0;0,4185118
692;64;0;0,3223221
1380;128;0;0,5477771
928;64;0;0,4024588
1284;128;0;0,4850406
856;64;0;0,3497043
984;128;0;0,3786127
572;64;0;0,314555
672;64;0;0,3226184
740;64;0;0,3468989
1224;128;0;0,4376058
632;64;0;0,2778023
748;64;0;0,3645959
2028;256;0;0,5991179
660;64;0;0,2973156
412;32;0;0,2226793
936;128;0;0,3430337
1180;128;0;0,4460277
2252;256;0;0,6725157
2020;256;0;0,6384847
2260;256;0;0,672814
1300;128;0;0,4722256
640;64;0;0,3120137
660;64;0;0,3036968
592;64;0;0,264198
1048;128;0;0,3932543
312;32;0;0,2187272
1432;128;0;0,5508156
1356;128;0;0,4950098
1040;128;0;0,3981006
1344;128;0;0,5097724
2012;128;0;0,6921235
1224;128;0;0,4322319
652;64;0;0,3303647
2452;256;0;0,7813432
616;64;0;0,3103137
660;64;0;0,3422528
1152;128;0;0,4959987
1148;128;0;0,4907405
596;64;0;0,3145201
952;128;0;0,3484477
804;64;0;0,3562912
492;64;0;0,2335688
1188;128;0;0,4529646
1264;128;0;0,4669714
1576;128;0;0,5688349
2160;256;0;0,6524788
2304;256;0;0,7118808
1232;128;0;0,4377486
960;64;0;0,4343036
1304;128;0;0,4735545
708;64;0;0,3120685
524;64;0;0,2701984
460;64;0;0,2789111
624;64;0;0,2872101
596;64;0;0,2754029
1124;128;0;0,4489391
1896;128;0;0,6753157
1496;128;0;0,5298657
704;64;0;0,32324
1996;256;0;0,5897423
1260;128;0;0,4128211
768;64;0;0,3195151
820;64;0;0,3541644
1288;128;0;0,4468597
1024;128;0;0,3683062
456;32;0;0,2452726
432;32;0;0,2465074
280;32;0;0,1904052
1268;128;0;0,4639674
1168;128;0;0,4425042
920;64;0;0,3994337
1420;128;0;0,5215324
1388;128;0;0,6156972
332;32;0;0,1935186
1524;128;0;0,5516951
1192;128;0;0,4354093
592;64;0;0,2838773
840;64;0;0,354528
656;64;0;0,2767512
2416;256;0;0,7123902
384;32;0;0,2266665
700;64;0;0,3027583
1388;128;0;0,4895157
1448;128;0;0,4981917
2424;256;0;0,7678735
680;64;0;0,3220819
892;64;0;0,3790499
708;64;0;0,3409461
424;32;0;0,2411111
424;32;0;0,2407876
1016;128;0;0,3920878
1840;128;0;0,6372729
676;64;0;0,3208849
772;64;0;0,378251
1272;128;0;0,4535655
500;32;0;0,2499867
1348;128;0;0,4615129
936;64;0;0,6177135
1268;128;0;0,4528995
608;64;0;0,320677

Average Score: 1081,444
Max Score: 3660
Min Score: 156
Average Time: 0,4288555503
Max Time: 1,7180661
Min Time: 0,1402765
Total Time: 428,8555503
Average Move Time: 0
Max Tile: 256
Runs: 1000
Percentage of 2048 Tile: 0%
